Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2035 0.32971026109441937 0.32971026109441937 0.0 0.0 0.0 0.0 0.01735 0.0 -0.0 0.0 0. 0.5205 0.5205 0. 1.041 
2036 0.20101315198911607 0.5307234130835354 0.0 0.0 0.0 0.0 0.023498155828165904 0 0.0002678155828165905 0 0.00535631 0.70896191 0.69691021 0. 1.41122843 
2037 0.14929716384739322 0.6800205769309287 0.0 0.0 0.0 0.0 0.030360605862497315 0 0.0012141211724994634 0 0.02428242 0.92902999 0.87439454 0. 1.82770696 
2038 0.08637983873290977 0.7664004156638384 0.0 0.0 0.0 0.0 0.037123527193276294 0 0.0028090581579828886 0 0.05618116 1.15584169 1.02943407 0. 2.24145692 
2039 0.01873369300506056 0.785134108668899 0.0 0.0 0.0 0.0 0.04299862461650677 0 0.004707449846602707 0 0.094149 1.36057049 1.14873524 0. 2.60345473 
2040 -0.047009305508709076 0.7381248031601899 0.0 0.0 0.0 0.0 0.047347413607022104 0 0.0063237068035110495 0 0.12647414 1.51527801 1.2307112 0. 2.87246335 
2041 -0.1050415409322909 0.633083262227899 0.0 0.0 0.0 0.0 0.04783316349970963 0 0.004831581749854815 0 0.09663163 1.50746863 1.29004745 0. 2.89414772 
2042 -0.13549024591185344 0.4975930163160456 0.0 0.0 0.0 0.0 0.048266480698396716 0 0.003313240349198358 0 0.06626481 1.49769303 1.34859721 0. 2.91255504 
2043 -0.16753520073945083 0.33005781557659475 0.0 0.0 0.0 0.0 0.04808416385151973 0 0.001487081925759867 0 0.02974164 1.46483114 1.39791246 0. 2.89248524 
2044 -0.19584958071129677 0.13420823486529798 0.0 0.0 0.0 0.0 0.04745196337101822 0.000564018314490889 0 0.001128036628981778 0.04512147 1.37279725 1.39817808 0.05640183 2.87249863 
2045 -0.22417422219871241 -0.08996598733341443 0.0 0.0 0.0 0.0 0.046301234165562075 0.002874382917218961 0 0.005748765834437922 0.22995063 1.13034256 1.25968979 0.28743829 2.90742128 
2046 -0.2582563824327053 -0.34822236976611975 0.0 0.0 0.0 0.0 0.044421438834761504 0.00554928058261925 0 0.0110985611652385 0.44394245 0.83320791 1.08292554 0.55492806 2.91500396 
2047 -0.2869656098579867 -0.6351879796241064 0.0 0.0 0.0 0.0 0.0421145893124777 0.008437705343761152 0 0.016875410687522303 0.67501643 0.5040442 0.88374094 0.84377053 2.9065721 
2048 -0.3107748989242509 -0.9459628785483574 0.0 0.0 0.0 0.0 0.03946169867225127 0.011499150663874367 0 0.022998301327748733 0.91993205 0.1489274 0.66638918 1.14991507 2.8851637 
2049 -0.32922382610593104 -1.2751867046542884 0.0 0.0 0.0 0.0 0.036569287287087984 0.014680356356456009 0 0.021888930930631975 0.87555724 1.11022302e-16 0.66061604 1.16916436 2.70533764 
2050 -0.3236509504126275 -1.5988376550669159 0.0 0.0 0.0 0.0 0.03421845851972436 0.01759077074013782 0 0.01662768777958654 0.66510751 0. 0.79158468 1.01692293 2.47361512 
2051 -0.3066111273796537 -1.9054487824465696 0.0 0.0 0.0 0.0 0.03238930365018011 0.020240348174909946 0 0.012148955475270166 0.48595822 0. 0.91081567 0.89076518 2.28753907 
2052 -0.2897056286955717 -2.1951544111421413 0.0 0.0 0.0 0.0 0.03086706127096986 0.022736469364515073 0 0.008130591906454786 0.32522368 5.55111512e-17 1.02314112 0.77995306 2.12831786 
2053 -0.2703525836491849 -2.465506994791326 0.0 0.0 0.0 0.0 0.029743769714538654 0.025033115142730676 0 0.004710654571807978 0.18842618 0. 1.12649018 0.68908849 2.00400485 
2054 -0.24945653303041126 -2.7149635278217374 0.0 0.0 0.0 0.0 0.02903111288640567 0.027124443556797162 0 0.0019066693296085069 0.07626677 0. 1.22059996 0.61875564 1.91562238 
2055 -0.22723244481693428 -2.9421959726386717 0.0 0.0 0.0 0.0 0.028749459960562405 0.028749459960562405 0 0.0 0. 0. 1.2937257 0.5749892 1.8687149 
2056 -0.2046281197003168 -3.1468240923389885 0.0 0.0 0.0 0.0 0.02888842451968071 0.02888842451968071 0 0.0 0. 0. 1.2999791 0.57776849 1.87774759 
2057 -0.18385875337355628 -3.330682845712545 0.0 0.0 0.0 0.0 0.029373888736724335 0.029373888736724335 0 0.0 0. 0. 1.32182499 0.58747777 1.90930277 
2058 -0.16138698299266707 -3.492069828705212 0.0 0.0 0.0 0.0 0.030301740345928807 0.030301740345928807 0 0.0 0. 0. 1.36357832 0.60603481 1.96961312 
2059 -0.13870255841146673 -3.6307723871166786 0.0 0.0 0.0 0.0 0.03164860849683493 0.03164860849683493 0 0.0 0. 0. 1.42418738 0.63297217 2.05715955 
2060 -0.11645326124738631 -3.747225648364065 0.0 0.0 0.0 0.0 0.03339467595411044 0.03339467595411044 0 0.0 0. 0. 1.50276042 0.66789352 2.17065394 
2061 -0.09540422534928439 -3.8426298737133493 0.0 0.0 0.0 0.0 0.035503975987153796 0.035503975987153796 0 0.0 0. 0. 1.59767892 0.71007952 2.30775844 
2062 -0.07625188304410813 -3.9188817567574574 0.0 0.0 0.0 0.0 0.037929054391631356 0.03655547280418432 0 0.0013735815874470342 0.05494326 1.94289029e-16 1.64499628 0.78605272 2.48599226 
2063 -0.06217294039385024 -3.9810546971513077 0.0 0.0 0.0 0.0 0.040518934232923604 0.0369955328835382 0 0.003523401349385405 0.14093605 0. 1.66479898 0.88084671 2.68658175 
2064 -0.0518672933800417 -4.032921990531349 0.0 0.0 0.0 0.0 0.04322835610442155 0.037375821947789226 0 0.005852534156632325 0.23410137 0. 1.68191199 0.98161781 2.89763116 
2065 -0.04485238441617412 -4.0777743749475235 0.0 0.0 0.0 0.0 0.04600593030364433 0.037722034848177835 0 0.008283895455466497 0.33135582 2.77555756e-17 1.69749157 1.08579652 3.1146439 
2066 -0.04149757383999031 -4.119271948787514 0.0 0.0 0.0 0.0 0.048777917735916665 0.03807104113204167 0 0.010706876603874996 0.42827506 0. 1.71319685 1.18969589 3.3311678 
2067 -0.04184213785038082 -4.161114086637895 0.0 0.0 0.0 0.0 0.05147590109186456 0.03845704945406772 0 0.013018851637796841 0.52075407 0. 1.73056723 1.28989505 3.54121635 
2068 -0.04586855664842915 -4.206982643286324 0.0 0.0 0.0 0.0 0.05403282304119403 0.03891358847940299 0 0.01511923456179104 0.60476938 0. 1.75111148 1.38304115 3.73892202 
2069 -0.053437848212070094 -4.260420491498394 0.0 0.0 0.0 0.0 0.056386392383298525 0.03947180380835074 0 0.016914588574947785 0.67658354 0. 1.77623117 1.46601962 3.91883433 
2070 -0.06430856346594283 -4.324729054964337 0.0 0.0 0.0 0.0 0.05848061158272588 0.04015969420863706 0 0.01832091737408882 0.73283669 0. 1.80718624 1.53603058 4.07605351 
2071 -0.07814018139077916 -4.402869236355116 0.0 0.0 0.0 0.0 0.06026752765525012 0.041001236172374944 0 0.019266291482875175 0.77065166 0. 1.84505563 1.59067638 4.20638367 
2072 -0.09450398908853685 -4.497373225443653 0.0 0.0 0.0 0.0 0.061708646974060935 0.04201567651296954 0 0.0196929704610914 0.78771882 0. 1.89070544 1.62803235 4.30645661 
2073 -0.11289565230293874 -4.610268877746591 0.0 0.0 0.0 0.0 0.06277608910009361 0.0432169554499532 0 0.019559133650140406 0.78236535 0. 1.944763 1.64670446 4.3738328 
2074 -0.132750369050882 -4.743019246797473 0.0 0.0 0.0 0.0 0.0634534160299751 0.04461329198501245 0 0.01884012404496265 0.75360496 0. 2.00759814 1.6458708 4.4070739 
2075 -0.15345983780645156 -4.896479084603925 0.0 0.0 0.0 0.0 0.06373611771989011 0.04620694114005495 0 0.017529176579835166 0.70116706 1.11022302e-16 2.07931235 1.62530589 4.4057853 
2076 -0.174390590012365 -5.07086967461629 0.0 0.0 0.0 0.0 0.06363173715729561 0.0479941314213522 0 0.015637605735943416 0.62550423 0. 2.15973591 1.58538686 4.370627 
2077 -0.19490310857332815 -5.265772783189618 0.0 0.0 0.0 0.0 0.0631596311807381 0.04996518440963096 0 0.013194446771107142 0.52777787 0. 2.2484333 1.52708156 4.30329273 
2078 -0.2143711514312372 -5.480143934620855 0.0 0.0 0.0 0.0 0.0623503739252467 0.05210481303737664 0 0.010245560887870056 0.40982244 1.11022302e-16 2.34471659 1.4519187 4.20645772 
2079 -0.2322006888743431 -5.7123446234951984 0.0 0.0 0.0 0.0 0.06124482078363737 0.05439258960818131 0 0.00685223117545606 0.27408925 0. 2.44766653 1.36194104 4.08369682 
2080 -0.24784787663912766 -5.960192500134326 0.0 0.0 0.0 0.0 0.05989286110504578 0.0568035694474771 0 0.003089291657568681 0.12357167 4.16333634e-17 2.55616063 1.25964306 3.93937535 
2081 -0.2608355163270062 -6.221028016461332 0.0 0.0 0.0 0.0 0.05835189734997338 0.05835189734997338 0 0.0 0. 0. 2.62583538 1.16703795 3.79287333 
2082 -0.27253850951177583 -6.493566525973108 0.0 0.0 0.0 0.0 0.05662027785062662 0.05662027785062662 0 0.0 0. 0. 2.5479125 1.13240556 3.68031806 
2083 -0.2864284346341037 -6.779994960607212 0.0 0.0 0.0 0.0 0.05459445186708392 0.05459445186708392 0 0.0 0. 0. 2.45675033 1.09188904 3.54863937 
2084 -0.29503493247415236 -7.075029893081364 0.0 0.0 0.0 0.0 0.05250781369233404 0.05250781369233404 0 0.0 0. 0. 2.36285162 1.05015627 3.41300789 
2085 -0.2993941694933824 -7.374424062574747 0.0 0.0 0.0 0.0 0.05041912635315324 0.05041912635315324 0 0.0 0. 0. 2.26886069 1.00838253 3.27724321 
2086 -0.2992563709985916 -7.673680433573338 0.0 0.0 0.0 0.0 0.04841525647633366 0.04841525647633366 0 0.0 0. 0. 2.17868654 0.96830513 3.14699167 
2087 -0.2947332352317744 -7.968413668805113 0.0 0.0 0.0 0.0 0.04657441165612497 0.04657441165612497 0 0.0 0. 0. 2.09584852 0.93148823 3.02733676 
2088 -0.2860209426158349 -8.254434611420947 0.0 0.0 0.0 0.0 0.0449696633611269 0.0449696633611269 0 0.0 0. 0. 2.02363485 0.89939327 2.92302812 
2089 -0.2734414941788259 -8.527876105599773 0.0 0.0 0.0 0.0 0.04366588792405163 0.04366588792405163 0 0.0 0. 0. 1.96496496 0.87331776 2.83828272 
2090 -0.25742620253265613 -8.78530230813243 0.0 0.0 0.0 0.0 0.042718068254828934 0.042718068254828934 0 0.0 0. 0. 1.92231307 0.85436137 2.77667444 
2091 -0.23850477512564794 -9.023807083258077 0.0 0.0 0.0 0.0 0.0421696929915778 0.0421696929915778 0 0.0 0. 0. 1.89763618 0.84339386 2.74103004 
2092 -0.21728977883037714 -9.241096862088455 0.0 0.0 0.0 0.0 0.042051524471185375 0.042051524471185375 0 0.0 0. 0. 1.8923186 0.84103049 2.73334909 
2093 -0.19445874381540307 -9.435555605903858 0.0 0.0 0.0 0.0 0.042380737400137536 0.042380737400137536 0 0.0 0. 0. 1.90713318 0.84761475 2.75474793 
2094 -0.17073416539921027 -9.606289771303068 0.0 0.0 0.0 0.0 0.0431604619583483 0.0431604619583483 0 0.0 0. 0. 1.94222079 0.86320924 2.80543003 
2095 -0.14686207214663227 -9.7531518434497 0.0 0.0 0.0 0.0 0.04437974534458711 0.04437974534458711 0 0.0 0. 0. 1.99708854 0.88759491 2.88468345 
2096 -0.12358981241811762 -9.876741655867818 0.0 0.0 0.0 0.0 0.04601393413036736 0.04601393413036736 0 0.0 0. 0. 2.07062704 0.92027868 2.99090572 
2097 -0.1016437439237734 -9.978385399791591 0.0 0.0 0.0 0.0 0.04802546667000884 0.04802546667000884 0 0.0 0. 0. 2.161146 0.96050933 3.12165533 
2098 -0.08170751111231311 -10.060092910903904 0.0 0.0 0.0 0.0 0.05036505227710322 0.05036505227710322 0 0.0 0. 0. 2.26642735 1.00730105 3.2737284 
2099 -0.06440157673836211 -10.124494487642266 0.0 0.0 0.0 0.0 0.052973202021834476 0.052973202021834476 0 0.0 0. 0. 2.38379409 1.05946404 3.44325813 
2100 -0.05026463500598766 -10.174759122648254 0.0 0.0 0.0 0.0 0.055782065234927375 0.055782065234927375 0 0.0 0. 0. 2.51019294 1.1156413 3.62583424 
2101 -0.03973747584046805 -10.214496598488722 0.0 0.0 0.0 0.0 0.058717516439775824 0.058717516439775824 0 0.0 0. 0. 2.64228824 1.17435033 3.81663857 
2102 -0.03314979475379687 -10.247646393242519 0.0 0.0 0.0 0.0 0.061701429759667414 0.061701429759667414 0 0.0 0. 0. 2.77656434 1.2340286 4.01059293 
2103 -0.030710352746268654 -10.278356745988788 0.0 0.0 0.0 0.0 0.06465407209314844 0.06465407209314844 0 0.0 0. 0. 2.90943324 1.29308144 4.20251469 
2104 -0.03250078843797155 -10.31085753442676 0.0 0.0 0.0 0.0 0.06749654269157543 0.06749654269157543 0 0.0 0. 0. 3.03734442 1.34993085 4.38727527 
2105 -0.03847327324348271 -10.349330807670242 0.0 0.0 0.0 0.0 0.0701531853192788 0.0701531853192788 0 0.0 0. 0. 3.15689334 1.40306371 4.55995705 
2106 -0.048452083291522285 -10.397782890961764 0.0 0.0 0.0 0.0 0.07255389997116488 0.07255389997116488 0 0.0 0. 0. 3.2649255 1.451078 4.7160035 
2107 -0.062139042467265426 -10.45992193342903 0.0 0.0 0.0 0.0 0.07463628414109777 0.07463628414109777 0 0.0 0. 0. 3.35863279 1.49272568 4.85135847 
2108 -0.07912267306585363 -10.539044606494883 0.0 0.0 0.0 0.0 0.07634753878403852 0.07634753878403852 0 0.0 0. 0. 3.43563925 1.52695078 4.96259002 
2109 -0.09889077766109722 -10.63793538415598 0.0 0.0 0.0 0.0 0.07764608123874744 0.07764608123874744 0 0.0 0. 0. 3.49407366 1.55292162 5.04699528 
2110 -0.12084607132260317 -10.758781455478584 0.0 0.0 0.0 0.0 0.07850281625953828 0.07850281625953828 0 0.0 0. 0. 3.53262673 1.57005633 5.10268306 
2111 -0.1443243904609517 -10.903105845939535 0.0 0.0 0.0 0.0 0.07890202667387106 0.07890202667387106 0 0.0 0. 0. 3.5505912 1.57804053 5.12863173 
2112 -0.16861492612730444 -11.07172077206684 0.0 0.0 0.0 0.0 0.07884185672304717 0.07884185672304717 0 0.0 0. 0. 3.54788355 1.57683713 5.12472069 
2113 -0.19298186794503636 -11.264702640011876 0.0 0.0 0.0 0.0 0.07833437350438849 0.07833437350438849 0 0.0 0. 0. 3.52504681 1.56668747 5.09173428 
2114 -0.21668680187451628 -11.481389441886392 0.0 0.0 0.0 0.0 0.07740520473917539 0.07740520473917539 0 0.0 0. 0. 3.48323421 1.54810409 5.03133831 
2115 -0.23901118199302118 -11.720400623879414 0.0 0.0 0.0 0.0 0.07609276395253442 0.07609276395253442 0 0.0 0. 0. 3.42417438 1.52185528 4.94602966 
2116 -0.2592781941404496 -11.979678818019863 0.0 0.0 0.0 0.0 0.0744470866774663 0.0744470866774663 0 0.0 0. 0. 3.3501189 1.48894173 4.83906063 
2117 -0.27687334767188077 -12.256552165691744 0.0 0.0 0.0 0.0 0.07252831310544564 0.07252831310544564 0 0.0 0. 0. 3.26377409 1.45056626 4.71434035 
2118 -0.29126317013719927 -12.547815335828943 0.0 0.0 0.0 0.0 0.0704048633408196 0.0704048633408196 0 0.0 0. 0. 3.16821885 1.40809727 4.57631612 
2119 -0.30201143728788793 -12.849826773116831 0.0 0.0 0.0 0.0 0.06815136074959363 0.06815136074959363 0 0.0 0. 0. 3.06681123 1.36302721 4.42983845 
2120 -0.30879244564209785 -13.158619218758929 0.0 0.0 0.0 0.0 0.06584636654146123 0.06584636654146123 0 0.0 0. 0. 2.96308649 1.31692733 4.28001383 
2121 -0.31140092465790303 -13.470020143416832 0.0 0.0 0.0 0.0 0.06356999445423234 0.06356999445423234 0 0.0 0. 0. 2.86064975 1.27139989 4.13204964 
2122 -0.309758287621662 -13.779778431038494 0.0 0.0 0.0 0.0 0.06140147804851914 0.06140147804851914 0 0.0 0. 0. 2.76306651 1.22802956 3.99109607 
2123 -0.3039150315736947 -14.083693462612189 0.0 0.0 0.0 0.0 0.05941676455639833 0.05941676455639833 0 0.0 0. 0. 2.67375441 1.18833529 3.8620897 
2124 -0.2940492135666659 -14.377742676178855 0.0 0.0 0.0 0.0 0.05768620841765704 0.05768620841765704 0 0.0 0. 0. 2.59587938 1.15372417 3.74960355 
2125 -0.28046104974902164 -14.658203725927876 0.0 0.0 0.0 0.0 0.056272434605112776 0.056272434605112776 0 0.0 0. 0. 2.53225956 1.12544869 3.65770825 
2126 -0.2635638015420909 -14.921767527469967 0.0 0.0 0.0 0.0 0.05522843667907934 0.05522843667907934 0 0.0 0. 0. 2.48527965 1.10456873 3.58984838 
2127 -0.2438712259773297 -15.165638753447297 0.0 0.0 0.0 0.0 0.05459596737652933 0.05459596737652933 0 0.0 0. 0. 2.45681853 1.09191935 3.54873788 
2128 -0.2219819716362963 -15.387620725083593 0.0 0.0 0.0 0.0 0.05440427065002601 0.05440427065002601 0 0.0 0. 0. 2.44819218 1.08808541 3.53627759 
2129 -0.19856139442583753 -15.58618211950943 0.0 0.0 0.0 0.0 0.054669193694984575 0.054669193694984575 0 0.0 0. 0. 2.46011372 1.09338387 3.55349759 
2130 -0.17432134580622005 -15.76050346531565 0.0 0.0 0.0 0.0 0.05539270595646972 0.05539270595646972 0 0.0 0. 0. 2.49267177 1.10785412 3.60052589 
2131 -0.1499985476802408 -15.910502012995892 0.0 0.0 0.0 0.0 0.05656283973962678 0.05656283973962678 0 0.0 0. 0. 2.54532779 1.13125679 3.67658458 
2132 -0.12633221108728776 -16.03683422408318 0.0 0.0 0.0 0.0 0.058154054236380426 0.058154054236380426 0 0.0 0. 0. 2.61693244 1.16308108 3.78001353 
2133 -0.10404157881197307 -16.140875802895152 0.0 0.0 0.0 0.0 0.06012801191475964 0.06012801191475964 0 0.0 0. 0. 2.70576054 1.20256024 3.90832077 
2134 -0.0838040743202555 -16.224679877215408 0.0 0.0 0.0 0.0 0.06243474368689733 0.06243474368689733 0 0.0 0. 0. 2.80956347 1.24869487 4.05825834 
2135 -0.06623472100784511 -16.290914598223253 0.0 0.0 0.0 0.0 0.06501416745807093 0.06501416745807093 0 0.0 0. 0. 2.92563754 1.30028335 4.22592088 
2136 -0.05186745713911023 -16.342782055362363 0.0 0.0 0.0 0.0 0.06779791392122297 0.06779791392122297 0 0.0 0. 0. 3.05090613 1.35595828 4.4068644 
2137 -0.04113891425043903 -16.383920969612802 0.0 0.0 0.0 0.0 0.07071140412530269 0.07071140412530269 0 0.0 0. 0. 3.18201319 1.41422808 4.59624127 
2138 -0.034375151938661475 -16.418296121551464 0.0 0.0 0.0 0.0 0.07367611569513066 0.07367611569513066 0 0.0 0. 0. 3.31542521 1.47352231 4.78894752 
2139 -0.03178175211701273 -16.450077873668477 0.0 0.0 0.0 0.0 0.07661196884812554 0.07661196884812554 0 0.0 0. 0. 3.4475386 1.53223938 4.97977798 
2140 -0.033437573748983596 -16.48351544741746 0.0 0.0 0.0 0.0 0.07943975971265405 0.07943975971265405 0 0.0 0. 0. 3.57478919 1.58879519 5.16358438 
2141 -0.03929235783789409 -16.522807805255354 0.0 0.0 0.0 0.0 0.08208356701539354 0.08208356701539354 0 0.0 0. 0. 3.69376052 1.64167134 5.33543186 
2142 -0.049168255465531274 -16.571976060720885 0.0 0.0 0.0 0.0 0.0844730590137886 0.0844730590137886 0 0.0 0. 0. 3.80128766 1.68946118 5.49074884 
2143 -0.06276523246805255 -16.634741293188938 0.0 0.0 0.0 0.0 0.0865456305804771 0.0865456305804771 0 0.0 0. 0. 3.89455338 1.73091261 5.62546599 
2144 -0.07967018654284175 -16.71441147973178 0.0 0.0 0.0 0.0 0.08824830550717438 0.08824830550717438 0 0.0 0. 0. 3.97117375 1.76496611 5.73613986 
2145 -0.09936949978549592 -16.813780979517276 0.0 0.0 0.0 0.0 0.08953934622875925 0.08953934622875925 0 0.0 0. 0. 4.02927058 1.79078692 5.8200575 
2146 -0.1212646452609647 -16.93504562477824 0.0 0.0 0.0 0.0 0.09038952205828255 0.09038952205828255 0 0.0 0. 0. 4.06752849 1.80779044 5.87531893 
2147 -0.14469037342473712 -17.079735998202977 0.0 0.0 0.0 0.0 0.09078299739921286 0.09078299739921286 0 0.0 0. 0. 4.08523488 1.81565995 5.90089483 
