Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2035 0.32750293782402196 0.32750293782402196 0.0 0.0 0.0 0.0 0.01735 0.0 -0.0 0.0 0. 0.5205 0.5205 0. 1.041 
2036 0.16531938789813694 0.4928223257221589 0.0 0.0 0.0 0.0 0.023228798671850282 0 0.00024087986718502826 0 0.0048176 0.70047716 0.68963756 0. 1.39493232 
2037 0.04877472918968806 0.541597054911847 0.0 0.0 0.0 0.0 0.028611521459623236 0 0.0008643042919246473 0 0.01728609 0.87131021 0.83241652 0. 1.72101281 
2038 -0.08179713802661581 0.45979991688523114 0.0 0.0 0.0 0.0 0.0319104705118676 0 0.001245141153560279 0 0.02490282 0.97599123 0.91995988 0. 1.92085394 
2039 -0.18793098320804802 0.2718689336771831 0.0 0.0 0.0 0.0 0.03245885159486814 0 0.0004915406379472552 0 0.00983081 0.98113866 0.95901933 0. 1.9499888 
2040 -0.24018847721492875 0.03168045646225437 0.0 0.0 0.0 0.0 0.03088430322022606 0.0019078483898869708 0 0.0038156967797739415 0.15262787 0.75482274 0.84067592 0.19078484 1.93891137 
2041 -0.23950704500907705 -0.20782658854682268 0.0 0.0 0.0 0.0 0.029983794505927037 0.0040931027470364825 0 0.008186205494072965 0.32744822 0.53113459 0.71532421 0.40931027 1.98321729 
2042 -0.19537515776011105 -0.40320174630693373 0.0 0.0 0.0 0.0 0.03068604265557308 0.00547697867221346 0 0.01095395734442692 0.43815829 0.4276532 0.67411724 0.54769787 2.0876266 
2043 -0.11954461734336519 -0.5227463636502989 0.0 0.0 0.0 0.0 0.033356075047815945 0.005876962476092027 0 0.011753924952184054 0.470157 0.47175563 0.73621894 0.58769625 2.26582781 
2044 -0.03535368692485008 -0.558100050575149 0.0 0.0 0.0 0.0 0.037719796603750015 0.0054301016981249915 0 0.010860203396249983 0.43440814 0.64288475 0.88723932 0.54301017 2.50754237 
2045 0.03213662571096165 -0.5259634248641873 0.0 0.0 0.0 0.0 0.04301296957549597 0.004518515212252015 0 0.00903703042450403 0.36148122 0.88372272 1.0870559 0.45185152 2.78411136 
2046 0.06250823589977017 -0.4634551889644172 0.0 0.0 0.0 0.0 0.04818267075891696 0.0036686646205415204 0 0.007337329241083041 0.29349317 1.11530031 1.28039021 0.36686646 3.05605015 
2047 0.0454723472613523 -0.4179828417030649 0.0 0.0 0.0 0.0 0.05217305795171666 0.00340847102414167 0 0.00681694204828334 0.27267768 1.25842935 1.41181054 0.3408471 3.28376467 
2048 -0.016390495196105803 -0.4343733368991707 0.0 0.0 0.0 0.0 0.054211021872656445 0.00412448906367178 0 0.00824897812734356 0.32995913 1.25512664 1.44072865 0.41244891 3.43826332 
2049 -0.10833453380888614 -0.5427078707080568 0.0 0.0 0.0 0.0 0.05401592399733995 0.005957038001330028 0 0.011914076002660055 0.47656304 1.0843443 1.35241101 0.5957038 3.50902215 
2050 -0.2074118641670566 -0.7501197348751134 0.0 0.0 0.0 0.0 0.05187717173752829 0.008761414131235856 0 0.017522828262471712 0.70091313 0.76778788 1.16205152 0.87614141 3.50689394 
2051 -0.28863230896814684 -1.0387520438432603 0.0 0.0 0.0 0.0 0.048578866343551255 0.012145566828224376 0 0.024291133656448752 0.97164535 0.36426498 0.91081548 1.21455668 3.46128249 
2052 -0.3316696664413712 -1.3704217102846314 0.0 0.0 0.0 0.0 0.045191727805914156 0.015574136097042925 0 0.02961759170887123 1.18470367 0. 0.70083612 1.49618639 3.38172618 
2053 -0.3225412011479989 -1.6929629114326303 0.0 0.0 0.0 0.0 0.04292627473977449 0.018441862630112757 0 0.024484412109661735 0.97937648 0. 0.82988382 1.34821374 3.15747404 
2054 -0.2452820346332487 -1.938244946065879 0.0 0.0 0.0 0.0 0.04332145625320595 0.01997927187339702 0 0.02334218437980893 0.93368738 1.11022302e-16 0.89906723 1.33327281 3.16602742 
2055 -0.1576274370282249 -2.095872383094104 0.0 0.0 0.0 0.0 0.04551095329176137 0.02061952335411931 0 0.02489142993764206 0.9956572 0. 0.92787855 1.40804766 3.33158341 
2056 -0.07187668803186398 -2.167749071125968 0.0 0.0 0.0 0.0 0.04923484860741167 0.020492575696294164 0 0.028742272911117504 1.14969092 0. 0.92216591 1.55954243 3.63139925 
